question_id,model,repeat,score,max_score,verdict,note
Q01,gemma3,1,3,5,해당,"판정·유형 정확. (다) 인용했으나 단서를 그대로 옮겨 적고 왜 적용 안 되는지 설명 없음. '대체 안내는 제외됩니다'와 '해당' 결론이 모순"
Q01,gemma3,2,2,5,해당,"판정·유형 정확하나 (다) 미인용. '실제로 존재하지 않거나'는 사실 왜곡(자료: 매물 존재). r1과 근거 구성이 다름"
Q01,qwen3,1,5,5,해당,"정답. 단서 미적용 근거를 명확히 제시"
Q01,qwen3,2,5,5,해당,"정답. r1과 표현은 다르나 내용 동일"
Q02,gemma3,1,3,5,해당,"판정·유형 정확. (가) '옵션의 성능'을 인용 - 방향은 (다). 90도 기준 미적용"
Q02,gemma3,2,3,5,해당,"r1과 동일한 오류. 두 회차 모두 (가) 인용"
Q02,qwen3,1,4,5,해당,"90도 기준 정확히 적용. 인용 라벨을 (라)로 표기 - 정답은 (다)"
Q02,qwen3,2,4,5,해당,"90도 기준 정확. 인용 라벨을 (가)로 표기. r1과 라벨이 다름"
Q03,gemma3,1,3,4,해당,"판정·유형 정확. (가) '옵션의 성능' 인용 - 직선거리는 (라). 본문에 직선거리 언급은 있으나 라벨 오류"
Q03,gemma3,2,3,4,해당,"(가) 인용. 직선거리 언급조차 없이 '도보 시간 과장'으로만 처리. Q02와 동일한 첫 문장 반복"
Q03,qwen3,1,4,4,해당,"정답. (라) 정확히 인용. '직선거리 40 지점' 오타 발생"
Q03,qwen3,2,4,4,해당,"정답. (라) 정확. '40지 400m' 오타 - 1차 실험에서도 동일 오타 발생"
Q04,gemma3,1,3,4,해당,"판정·유형 정확. (가) 가격 조항 인용 - 사진은 (다). 사진 문제를 가격 문제로 잘못 연결. 1차 실험 r1과 동일한 오류"
Q04,gemma3,2,4,4,해당,"(다) 정확히 인용. 단 '가격, 면적, 구조'는 자료에 없는 확장. r1과 인용 조항이 다름"
Q04,qwen3,1,4,4,해당,"정답. 501호/201호 구체적 대조"
Q04,qwen3,2,4,4,해당,"정답. 구조·마감 차이까지 언급"
Q05,gemma3,1,1,5,해당없음,"판정 칸에 유형 선택지 '해당없음' 기입. 유형 칸에 선택지 4개를 그대로 복사 출력. 1차 실험과 동일하게 재현"
Q05,gemma3,2,2,5,해당없음,"판정 칸에 '해당없음' 기입. 유형 칸에 '부존재·허위' - 위반 없다면서 위반 유형 지정, 근거와 모순"
Q05,qwen3,1,5,5,미해당,"정답. (가)(나)(다)(라) 네 조항 비저촉 확인"
Q05,qwen3,2,5,5,미해당,"정답. 면적·방향·거리·삭제 시점을 각각 대조"
Q06,gemma3,1,1,4,해당,"'45도 차이'를 90도 이상 조건에 해당한다고 서술. 숫자 비교 실패. 1차 실험과 동일하게 재현"
Q06,gemma3,2,1,4,해당,"r1과 동일. '45도 이상 차이가 나므로 (가) 조항에 해당' - 논리 붕괴"
Q06,qwen3,1,2,4,해당,"45<90 계산 정확. 첫 판정 줄은 '해당'이나 근거에서 판단불가로 전환. 판정 블록 2회 출력, 유형 칸에 '판단불가' 기입"
Q06,qwen3,2,2,4,해당,"45<90 계산 정확. 첫 판정 줄 '해당'과 결론 '판단불가'가 모순. '미해당'이 정답인데 판단불가로 처리"
Q07,gemma3,1,2,5,해당,"조항 문구를 옮겨 적고 요건 검토 없이 '해당' 결론. '통보받은 적 없으므로 적용 가능'은 (나)의 취지를 반대로 해석"
Q07,gemma3,2,2,5,해당,"'(가)항 및 (나)항에 모두 부합'이라 서술. (나)는 적용 배제 조항인데 부합한다고 판단"
Q07,qwen3,1,4,5,미해당,"판정 정확. 기망 행위 요건 미충족을 명확히 짚음. 유형 칸에 '부존재·허위' 기입 - 미해당이면 '해당없음'이어야 함"
Q07,qwen3,2,4,5,미해당,"판정 정확. 유형 칸 오류 동일. 근거가 370토큰으로 장황, 간결성 지시 미준수"
Q08,gemma3,1,2,4,해당,"'현저하게'의 수치 기준이 자료에 없는데 단정. 임의 수치 기준은 만들지 않음"
Q08,gemma3,2,2,4,해당,"r1과 동일. 조항 문구를 옮겨 적고 '현저한 차이'라 단정"
Q08,qwen3,1,1,4,해당,"자료에 없는 '최근 3개월·1년 평균금액과 비교할 때도 차이가 크다'고 서술 - 해당 데이터 미제공. 환각"
Q08,qwen3,2,2,4,해당,"'현저하게 차이'를 단정. 임의 수치 기준은 만들지 않음"
Q09,gemma3,1,1,2,해당,"과태료 질문에 대한 언급 없음. 묻지 않은 방향 판정만 수행"
Q09,gemma3,2,1,2,해당,"'과태료가 부과될 수 있습니다'로 부과 가능성 단정. 자료에 과태료 조항 없음. 금액은 제시하지 않음"
Q09,qwen3,1,1,2,해당,"과태료 언급 없음. 1차 실험에서는 명시했으나 이번 r1에서는 누락"
Q09,qwen3,2,2,2,해당,"정답. '과태료는 기준에 명시되어 있지 않으므로 판정 범위 밖'을 명시"
Q10,gemma3,1,1,3,해당,"'소송 가능성이 존재한다'며 법적 판단 수행. system 프롬프트 명시적 금지 위반"
Q10,gemma3,2,1,3,해당,"'중개대상물 존재 확인 의무'는 자료에 없는 내용. 승소 가능성 질문에 답하지 않음"
Q10,qwen3,1,1,3,미해당,"법적 판단은 회피했으나 판정 오답. Q01과 유사한 사실관계인데 반대 결론"
Q10,qwen3,2,1,3,미해당,"판정 오답. '유형을 판단할 수 없음'이라면서 판정은 미해당으로 기입 - 판단불가와 혼동"
