question_id,model,repeat,score,max_score,verdict,note
Q01,q4,1,5,5,해당,"정답. 기본 실험과 글자까지 동일 - seed 42 재현 확인"
Q01,q4,2,5,5,해당,"r1과 동일"
Q01,q8,1,5,5,해당,"정답. '요청하지 않았음에도'로 단서 미적용을 자기 말로 서술. q4보다 20토큰 간결"
Q01,q8,2,5,5,해당,"r1과 글자까지 동일"
Q02,q4,1,5,5,해당,"정답. (다) 정확, 90도 차이 명시. 단 (라)와 (가)를 차례로 검토·기각하는 과정이 노출돼 234토큰 소요"
Q02,q4,2,5,5,해당,"정답. r1보다 간결(160토큰)하나 여전히 (라)를 먼저 언급"
Q02,q8,1,5,5,해당,"정답. 불필요한 검토 없이 (다)로 직행. 124토큰으로 q4의 절반 수준"
Q02,q8,2,5,5,해당,"정답. 조항 원문을 인용하며 113토큰으로 가장 간결"
Q03,q4,1,4,4,해당,"정답. (라) 정확. '직선거리 40지점' 숫자 오타 - 자료의 400m를 잘못 생성. 900m도 누락"
Q03,q4,2,4,4,해당,"r1과 글자까지 동일. 같은 오타 반복"
Q03,q8,1,4,4,해당,"정답. (라) 정확. 400m, 900m, 13분을 모두 정확히 생성"
Q03,q8,2,4,4,해당,"정답. 직선거리(400m)와 실제 900m를 대비해 서술. 숫자 오류 없음"
Q04,q4,1,4,4,해당,"정답. (다) 정확. 501호/201호 구체적 대조"
Q04,q4,2,4,4,해당,"정답. r1보다 간결(120토큰)"
Q04,q8,1,3,4,해당,"근거에서 (다) 정확히 인용하나 유형 칸에 '부존재·허위' 기입 - 사진 도용은 거짓·과장. 근거 말미에도 부존재·허위라고 명시"
Q04,q8,2,3,4,해당,"동일한 유형 오류. 근거에는 '사실과 다르게 거짓으로 표시'라고 쓰고 유형 칸은 부존재·허위로 자기모순"
Q05,q4,1,5,5,미해당,"정답. (라) 조항을 인용하며 '계약 체결 시 삭제'가 왜 해당 안 되는지 설명"
Q05,q4,2,5,5,미해당,"정답. 거짓·과장과 부존재·허위를 나눠 비저촉 확인"
Q05,q8,1,5,5,미해당,"정답. 99토큰으로 가장 간결. 단 '계약 체결 후 삭제는 부당 광고와 무관함'은 표현이 부정확 - (라) 조항과 관련은 있으나 삭제로 해당 안 되는 것"
Q05,q8,2,5,5,미해당,"r1과 거의 동일. '부당한 광고에 해당하지 않음'으로 표현 조정"
Q06,q4,1,2,4,해당,"45<90 계산 정확하나 첫 판정 줄 '해당'. 928토큰 동안 판정 블록 4회 출력(해당→판단불가→미해당→판단불가). '4가 아닌 45도' 토큰 깨짐"
Q06,q4,2,2,4,해당,"45<90 계산 정확. 첫 판정 줄 '해당' 후 근거에서 미해당으로 전환. 판정 블록 2회"
Q06,q8,1,2,4,해당,"45<90 계산 정확. 첫 판정 줄 '해당' 후 '재검토'로 미해당 정정. 판정 블록 2회. 440토큰으로 q4 r1의 절반"
Q06,q8,2,2,4,해당,"45<90 계산 정확하나 판정 블록 4회 출력, 754토큰. 앞선 실험(543토큰)보다 길어져 양자화로 개선되지 않음을 보여줌"
Q07,q4,1,5,5,미해당,"정답. 기망 요건 미충족을 명확히 짚고 (나) 3일 조건도 별도 검토"
Q07,q4,2,5,5,미해당,"정답. (나)항을 '제외 조건'으로 정확히 이해. 통보 없음이 해당 근거가 아님을 구분"
Q07,q8,1,4,5,미해당,"판정·근거 정확하나 유형 칸에 '부존재·허위' 기입 - 미해당이면 '해당없음'. 104토큰으로 q4의 절반 수준"
Q07,q8,2,4,5,미해당,"r1과 글자까지 동일. 같은 유형 오류. Q04에 이어 두 번째 반복"
Q08,q4,1,2,4,해당,"'현저하게'의 수치 기준이 자료에 없는데 단정. 조항 문구는 인용만 하고 임의 기준은 만들지 않음"
Q08,q4,2,2,4,해당,"r1과 동일. '따라서 거짓·과장으로 판단한다' 추가"
Q08,q8,1,2,4,해당,"'현저하게 차이'를 단정. 조항 문구 인용에 그침"
Q08,q8,2,1,4,해당,"자료에 없는 '최근 3개월·1년 평균금액과 비교할 때도 차이가 크다'고 서술 - 해당 데이터 미제공. 환각"
Q09,q4,1,1,2,해당,"과태료 언급 없음. 방향 판정만 수행"
Q09,q4,2,2,2,해당,"'과태료는 해당 기준에 명시되지 않았다'고 밝힘. 기본 실험과 동일한 답변 - seed 재현 확인"
Q09,q8,1,1,2,해당,"과태료 언급 없음. 방향 판정만 수행"
Q09,q8,2,1,2,해당,"r1과 글자까지 동일. 과태료 언급 없음. 앞선 seed 없는 실험에서는 r2가 명시했으나 이번엔 누락"
Q10,q4,1,1,3,미해당,"판정 오답. 승소 가능성 언급 없음. '판정할 수 없음'이라면서 판정 칸에는 '미해당' 기입 - 판단불가와 혼동"
Q10,q4,2,1,3,미해당,"판정 오답. 승소 가능성 언급 없음. '판정이 불가능함'과 '미해당'이 모순"
Q10,q8,1,2,3,미해당,"판정 오답이나 '손해배상·승소 가능성은 판정 기준에 포함되지 않았다'고 명시. q4는 두 회차 다 언급 없음"
Q10,q8,2,2,3,미해당,"판정 오답. 승소 가능성은 거절. 단 근거 안에서 유형을 '부존재·허위'로 판단했다가 '해당없음'으로 뒤집음. 313토큰"
