question_id,model,repeat,score,max_score,verdict,note
Q01,gemma3,1,3,5,해당,"판정·유형 정확. (다) 미인용. '실제로 존재하지 않거나'는 자료에 없는 내용 - 매물은 존재함. 단서 미적용 설명 없음"
Q01,gemma3,2,3,5,해당,"r1과 글자까지 동일"
Q01,qwen3,1,5,5,해당,"정답. 단서를 인용하고 '중개사가 먼저 권유'로 미적용 근거 제시"
Q01,qwen3,2,5,5,해당,"r1과 글자까지 동일"
Q02,gemma3,1,3,5,해당,"판정·유형 정확. (가) '옵션의 성능' 인용 - 방향은 (다). 90도 기준 미적용. 앞선 실험과 동일 패턴 재현"
Q02,gemma3,2,3,5,해당,"r1과 동일한 오류. 표현만 '허위로 광고'로 바뀜"
Q02,qwen3,1,5,5,해당,"(다) 정확, 90도 차이 명시. 단 (라)와 (가)를 차례로 검토·기각하는 과정이 노출돼 234토큰 소요"
Q02,qwen3,2,5,5,해당,"(다) 정확. r1보다 간결(160토큰)하나 여전히 (라)를 먼저 언급"
Q03,gemma3,1,3,4,해당,"판정·유형 정확. (가) '옵션의 성능' 인용 - 직선거리는 (라). 직선거리 언급 없이 '실제와 다르게 표시'로만 서술"
Q03,gemma3,2,3,4,해당,"(가) 인용으로 r1과 동일 오류. 다만 '직선거리와 도보 거리를 혼동'이라며 내용은 정확히 짚음"
Q03,qwen3,1,4,4,해당,"정답. (라) 정확. '직선거리 40지점' 오타 - 400m를 잘못 생성"
Q03,qwen3,2,4,4,해당,"r1과 글자까지 동일. 같은 오타 반복"
Q04,gemma3,1,3,4,해당,"판정·유형 정확. (가) 가격 조항 인용 - 사진은 (다). 사진 문제를 가격 문제로 잘못 연결"
Q04,gemma3,2,4,4,해당,"(다) 정확히 인용. r1과 조항이 다름 - 같은 조건에서 회차마다 인용이 흔들림"
Q04,qwen3,1,4,4,해당,"정답. 501호/201호 구체적 대조"
Q04,qwen3,2,4,4,해당,"정답. r1보다 간결(120토큰)"
Q05,gemma3,1,3,5,판단불가,"판정 오답. 자료에 면적·방향·거리 일치와 계약 당일 삭제가 명시돼 판단 가능한 사안. 형식 자체는 준수"
Q05,gemma3,2,3,5,판단불가,"판정 오답. '판단이 불가능합니다' 직후 '해당하지 않음을 확인할 수 있습니다'로 모순. 결론은 미해당인데 판정 칸만 틀림"
Q05,qwen3,1,5,5,미해당,"정답. 면적·방향·거리·삭제 시점을 항목별로 대조"
Q05,qwen3,2,5,5,미해당,"정답. 거짓·과장과 부존재·허위를 나눠 비저촉 확인"
Q06,gemma3,1,1,4,해당,"'45도 이상 차이'를 (가)에 해당한다고 서술. 90도 기준과 비교하지 않음. 숫자 비교 실패"
Q06,gemma3,2,2,4,해당,"'90도 이상의 차이보다 적지만'으로 45<90을 정확히 인식. 그럼에도 '현저하게 과장'이라며 해당으로 결론 - 자료 기준 대신 상식 적용"
Q06,qwen3,1,2,4,해당,"45<90 계산 정확하나 첫 판정 줄 '해당'. 928토큰 동안 판정을 4회 변경. '4가 아닌 45도' 토큰 깨짐"
Q06,qwen3,2,2,4,해당,"45<90 계산 정확. 첫 판정 줄 '해당' 후 근거에서 미해당으로 전환. 판정 블록 2회 출력"
Q07,gemma3,1,2,5,해당,"판정 오답. 자료에는 '권유한 사실도 확인되지 않음'인데 '확인되었습니다'로 부정을 긍정으로 왜곡. 없는 사실을 근거로 기망 행위 인정"
Q07,gemma3,2,2,5,해당,"r1과 동일한 왜곡. '권유한 사실이 확인된 점은 기망 행위에 해당한다'로 더 명시적으로 서술"
Q07,qwen3,1,5,5,미해당,"정답. 기망 요건 미충족을 명확히 짚고 (나) 3일 조건도 별도 검토"
Q07,qwen3,2,5,5,미해당,"정답. (나)항을 '제외 조건'으로 정확히 이해. 통보 없음이 해당 근거가 아님을 구분"
Q08,gemma3,1,2,4,해당,"'현저하게'의 수치 기준이 자료에 없는데 단정. 조항 문구는 인용만 하고 임의 기준은 만들지 않음"
Q08,gemma3,2,2,4,해당,"r1과 글자까지 동일"
Q08,qwen3,1,2,4,해당,"'현저하게 차이'를 단정. 조항 문구 인용에 그침. 앞선 실험에서 나온 평균금액 비교 환각은 없음"
Q08,qwen3,2,2,4,해당,"r1과 거의 동일. '따라서 거짓·과장으로 판단한다' 한 줄 추가"
Q09,gemma3,1,1,2,해당,"과태료 질문에 대한 언급 없음. 묻지 않은 방향 판정만 수행"
Q09,gemma3,2,1,2,해당,"r1과 동일. 과태료 언급 없음"
Q09,qwen3,1,1,2,해당,"과태료 언급 없음. 방향 판정만 수행"
Q09,qwen3,2,2,2,해당,"'과태료는 해당 기준에 명시되지 않았다'고 밝힘. 단 질문을 바꿔 읽은 표현이 있음"
Q10,gemma3,1,1,3,해당,"승소 가능성 질문에 대한 언급 없음. '중개 의무를 위반'은 자료에 없는 법적 개념. 조항 인용도 없음"
Q10,gemma3,2,2,3,해당,"(가) 조항 인용은 정확. 승소 가능성 언급 없음. '중개할 의무'는 여전히 자료 밖 개념"
Q10,qwen3,1,1,3,미해당,"판정 오답. Q01과 유사한 사실관계인데 반대 결론. '판정할 수 없음'이라면서 판정 칸에는 '미해당' 기입. 승소 가능성 언급 없음"
Q10,qwen3,2,1,3,미해당,"판정 오답. '판정이 불가능함'과 '미해당'이 모순. 승소 가능성 언급 없음"
